run_id,baseline,cache_outcome,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,execution_path,plan_validation_stage_failed,plan_source,operators_used,ff_planner_used,ff_planner_latency_s,ff_planner_input_tokens,ff_planner_output_tokens,ff_planner_cost_usd,guardrail_latency_s,cache_lookup_latency_s,cache_grounding_latency_s,cache_validation_latency_s,cache_rejection_latency_s,cache_retry_overhead_s,typed_exec_latency_s,agent_latency_s,guardrail_latency_ms,cache_lookup_latency_ms,cache_grounding_latency_ms,cache_validation_latency_ms,cache_rejection_latency_ms,cache_retry_overhead_ms,typed_exec_latency_ms,agent_latency_ms
1,FLASH_FUSION_CACHE,miss,17,1.0,llm_judge_score,7.431203842163086,0.002118282,9377,326,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_IN,DERIVE_BIN,GROUP_AGGREGATE,RANK_GROUPS",True,4.5987138748168945,7113,176,0.002016222,4.598750114440918,0.0009715000001051521,1.4125977499998044,4.58000158687355e-07,0.0,0.0,0.0055658817291259766,0.0,4598.750114440918,0.9715000001051521,1412.5977499998044,0.000458000158687355,0.0,0.0,5.565881729125977,0.0
1,FLASH_FUSION_CACHE,miss,18,1.0,llm_judge_score,8.973073959350586,0.002575872,10695,400,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"DERIVE_VECTOR_MAGNITUDE,SPLIT_BY_THRESHOLD,SPLIT_BY_THRESHOLD,AGGREGATE_PARTITIONS,COMPARE_PARTITIONS",True,6.238093852996826,9210,250,0.002483832,6.238116025924683,0.0009706249998089334,1.2921047499999077,4.169996827840805e-07,0.0,0.0,0.004136323928833008,0.0,6238.116025924683,0.9706249998089334,1292.1047499999077,0.0004169996827840805,0.0,0.0,4.136323928833008,0.0
1,FLASH_FUSION_CACHE,miss,19,0.0,llm_judge_score,15.121150970458984,0.011022,11847,701,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"DERIVE_BIN,PARALLEL_AGGREGATE,DERIVE_BINARY,DERIVE_BINARY,AGGREGATE_COLUMN,AGGREGATE_COLUMN,COMPARE_VALUES",True,12.471027851104736,9210,551,0.01090908,12.471052885055542,0.0010107919997608406,1.2279312499999833,6.669997674180195e-07,0.0,0.0,0.01658010482788086,0.0,12471.052885055542,1.0107919997608406,1227.9312499999833,0.0006669997674180195,0.0,0.0,16.58010482788086,0.0
1,FLASH_FUSION_CACHE,miss,20,1.0,llm_judge_score,6.435568809509277,0.007762575,9582,386,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"DERIVE_BINARY,FILTER_IN,DERIVE_BIN,GROUP_AGGREGATE,RANK_GROUPS",True,5.229176044464111,7131,236,0.007654335,5.22921085357666,0.0007072079997669789,1.1715630839998994,3.7500012695090845e-07,0.0,0.0,0.016323089599609375,0.0,5229.21085357666,0.7072079997669789,1171.5630839998994,0.00037500012695090845,0.0,0.0,16.323089599609375,0.0
2,FLASH_FUSION_CACHE,miss,17,1.0,llm_judge_score,7.130798101425171,0.002116182,9222,326,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_IN,DERIVE_BIN,GROUP_AGGREGATE,RANK_GROUPS",True,4.292128086090088,7114,176,0.002017002,4.292158126831055,0.0008824169999570586,1.382775957999911,3.7500012695090845e-07,0.0,0.0,0.005232095718383789,0.0,4292.158126831055,0.8824169999570586,1382.775957999911,0.00037500012695090845,0.0,0.0,5.232095718383789,0.0
2,FLASH_FUSION_CACHE,miss,18,1.0,llm_judge_score,4.891443252563477,0.002483832,9210,250,True,False,N/A,"hybrid_semantic_low_confidence_winner,cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"DERIVE_VECTOR_MAGNITUDE,SPLIT_BY_THRESHOLD,SPLIT_BY_THRESHOLD,AGGREGATE_PARTITIONS,COMPARE_PARTITIONS",True,4.850489854812622,9210,250,0.002483832,4.8505260944366455,0.021932083000137936,0.0,0.0008102920000965241,0.0,0.0,0.004434347152709961,0.0,4850.5260944366455,21.932083000137936,0.0,0.8102920000965241,0.0,0.0,4.434347152709961,0.0
2,FLASH_FUSION_CACHE,miss,19,0.0,llm_judge_score,13.001470804214478,0.003841512,11858,719,False,False,N/A,"hybrid_cache_hit,cache_light_grounding,cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_plan_unavailable",typed_plan_unavailable,execution,llm,"DERIVE_BIN,PARALLEL_AGGREGATE,DERIVE_BINARY,DERIVE_BINARY,AGGREGATE_COLUMN,AGGREGATE_COLUMN,COMPARE_VALUES",True,10.332656145095825,9210,569,0.003727932,10.332679033279419,0.02231116699977065,1.2311880419997578,0.0009262919998036523,0.0,0.0,0.004283905029296875,0.0,10332.679033279419,22.31116699977065,1231.1880419997578,0.9262919998036523,0.0,0.0,4.283905029296875,0.0
2,FLASH_FUSION_CACHE,miss,20,1.0,llm_judge_score,6.316206455230713,0.002362602,9427,384,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_IN,DERIVE_BINARY,DERIVE_BIN,GROUP_AGGREGATE,RANK_GROUPS",True,5.008617162704468,7132,234,0.002257242,5.008641004562378,0.0007417079996230314,1.286047999999937,2.909996510425117e-07,0.0,0.0,0.007447004318237305,0.0,5008.641004562378,0.7417079996230314,1286.047999999937,0.0002909996510425117,0.0,0.0,7.447004318237305,0.0
3,FLASH_FUSION_CACHE,miss,17,1.0,llm_judge_score,7.330121994018555,0.002086662,9222,326,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_IN,DERIVE_BIN,GROUP_AGGREGATE,RANK_GROUPS",True,4.606575012207031,7114,176,0.002017002,4.606595993041992,0.0008785420000094746,1.2426114169998073,4.1600014810683206e-07,0.0,0.0,0.007427215576171875,0.0,4606.595993041992,0.8785420000094746,1242.6114169998073,0.00041600014810683206,0.0,0.0,7.427215576171875,0.0
3,FLASH_FUSION_CACHE,miss,18,1.0,llm_judge_score,8.26077675819397,0.0025751520000000003,10695,400,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"DERIVE_VECTOR_MAGNITUDE,SPLIT_BY_THRESHOLD,SPLIT_BY_THRESHOLD,AGGREGATE_PARTITIONS,COMPARE_PARTITIONS",True,5.537313938140869,9210,250,0.002483832,5.537342071533203,0.0009270420000575541,1.2533077920002142,5.000001692678779e-07,0.0,0.0,0.003721952438354492,0.0,5537.342071533203,0.9270420000575541,1253.3077920002142,0.0005000001692678779,0.0,0.0,3.721952438354492,0.0
3,FLASH_FUSION_CACHE,miss,19,0.0,llm_judge_score,12.754858255386353,0.0038400720000000004,11858,719,True,False,N/A,"hybrid_cache_hit,cache_light_grounding,cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"DERIVE_BIN,PARALLEL_AGGREGATE,DERIVE_BINARY,DERIVE_BINARY,AGGREGATE_COLUMN,AGGREGATE_COLUMN,COMPARE_VALUES",True,11.13562297821045,9210,569,0.003727932,11.135655879974365,0.018869625000206725,1.5700607079998008,0.0009182910002891731,0.0,0.0,0.01758265495300293,0.0,11135.655879974365,18.869625000206725,1570.0607079998008,0.9182910002891731,0.0,0.0,17.58265495300293,0.0
3,FLASH_FUSION_CACHE,miss,20,1.0,llm_judge_score,7.74573278427124,0.0023138819999999997,9427,380,True,False,N/A,"exact_cache_hit,cache_light_grounding,cache_miss_or_validation_failure,guardrail_plan,plan_validated,typed_exec",typed_operator,,llm,"FILTER_IN,DERIVE_BINARY,DERIVE_BIN,GROUP_AGGREGATE,RANK_GROUPS",True,4.9068028926849365,7132,230,0.002241642,4.906833171844482,0.0010583750004116155,1.375646415999654,4.169996827840805e-07,0.0,0.0,0.006317138671875,0.0,4906.833171844482,1.0583750004116155,1375.646415999654,0.0004169996827840805,0.0,0.0,6.317138671875,0.0
