run_id,baseline,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,s1_latency_s,s2_latency_s,s3_latency_s,guardrail_latency_s,agent_latency_s,s1_latency_ms,s2_latency_ms,s3_latency_ms,guardrail_latency_ms,agent_latency_ms
1,LLMSENSE_PAPER,1,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LLMSENSE_PAPER,2,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LLMSENSE_PAPER,3,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LLMSENSE_PAPER,4,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LLMSENSE_PAPER,5,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LLMSENSE_PAPER,6,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LLMSENSE_PAPER,7,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LLMSENSE_PAPER,8,0.0,llm_judge_score,0.0,0.02536227,42853,100,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LLMSENSE_PAPER,9,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LLMSENSE_PAPER,10,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LLMSENSE_PAPER,11,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,LLMSENSE_PAPER,12,0.0,llm_judge_score,0.0,0.10258069,173571,220,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LLMSENSE_PAPER,1,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LLMSENSE_PAPER,2,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LLMSENSE_PAPER,3,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LLMSENSE_PAPER,4,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LLMSENSE_PAPER,5,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LLMSENSE_PAPER,6,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LLMSENSE_PAPER,7,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LLMSENSE_PAPER,8,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LLMSENSE_PAPER,9,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LLMSENSE_PAPER,10,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LLMSENSE_PAPER,11,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,LLMSENSE_PAPER,12,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,LLMSENSE_PAPER,1,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,LLMSENSE_PAPER,2,0.0,llm_judge_score,0.0,0.050685909999999994,85753,116,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,LLMSENSE_PAPER,3,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,LLMSENSE_PAPER,4,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,LLMSENSE_PAPER,5,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,LLMSENSE_PAPER,6,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,LLMSENSE_PAPER,7,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,LLMSENSE_PAPER,8,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,LLMSENSE_PAPER,9,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,LLMSENSE_PAPER,10,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,LLMSENSE_PAPER,11,0.0,llm_judge_score,0.0,0.05067821,85752,107,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,LLMSENSE_PAPER,12,0.0,llm_judge_score,0.0,0.0,0,0,False,False,N/A,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
