baseline,cache_outcome,cache_outcome_reason,policy_name,policy_cache_enabled,policy_pruning_enabled,policy_planner_guidance_enabled,policy_role,policy_reference,policy_treatment,policy_digest,route_mode,planner_guidance_mode,planner_candidate_op_count,planner_full_vocabulary,planner_prefix_chars,planner_prefix_sha256,model,query_id,gt_score,gt_method,latency_s,cost_usd,input_tokens,output_tokens,executed,rejected,judge_verdict,stages_run,execution_path,plan_validation_stage_failed,plan_source,operators_used,ff_planner_used,ff_planner_latency_s,ff_planner_input_tokens,ff_planner_output_tokens,ff_planner_cost_usd,guardrail_latency_s,cache_lookup_latency_s,cache_grounding_latency_s,cache_validation_latency_s,cache_rejection_latency_s,cache_retry_overhead_s,typed_exec_latency_s,agent_latency_s,guardrail_latency_ms,cache_lookup_latency_ms,cache_grounding_latency_ms,cache_validation_latency_ms,cache_rejection_latency_ms,cache_retry_overhead_ms,typed_exec_latency_ms,agent_latency_ms
LLMSENSE_PAPER,not_applicable,,,False,False,False,,,,,,,0,False,0,,meta-llama/llama-3.3-70b-instruct,1,0.0,llm_judge_score,104.04647469520569,0.058434900000000005,265108,349,False,False,N/A,"S_summarize,R_reason",,,,,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLMSENSE_PAPER,not_applicable,,,False,False,False,,,,,,,0,False,0,,meta-llama/llama-3.3-70b-instruct,2,0.0,llm_judge_score,104.90670585632324,0.0574306,260421,371,False,False,N/A,"S_summarize,R_reason",,,,,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLMSENSE_PAPER,not_applicable,,,False,False,False,,,,,,,0,False,0,,meta-llama/llama-3.3-70b-instruct,3,0.0,llm_judge_score,97.55399703979492,0.05568442,252477,374,False,False,N/A,"S_summarize,R_reason",,,,,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLMSENSE_PAPER,not_applicable,,,False,False,False,,,,,,,0,False,0,,meta-llama/llama-3.3-70b-instruct,4,0.0,llm_judge_score,92.9435818195343,0.05455374,247311,354,False,False,N/A,"S_summarize,R_reason",,,,,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLMSENSE_PAPER,not_applicable,,,False,False,False,,,,,,,0,False,0,,meta-llama/llama-3.3-70b-instruct,5,0.0,llm_judge_score,103.52796792984009,0.05753838,260942,389,False,False,N/A,"S_summarize,R_reason",,,,,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLMSENSE_PAPER,not_applicable,,,False,False,False,,,,,,,0,False,0,,meta-llama/llama-3.3-70b-instruct,6,0.0,llm_judge_score,97.93253135681152,0.056092680000000006,254360,362,False,False,N/A,"S_summarize,R_reason",,,,,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLMSENSE_PAPER,not_applicable,,,False,False,False,,,,,,,0,False,0,,meta-llama/llama-3.3-70b-instruct,7,0.0,llm_judge_score,100.02750301361084,0.056901600000000004,258046,358,False,False,N/A,"S_summarize,R_reason",,,,,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLMSENSE_PAPER,not_applicable,,,False,False,False,,,,,,,0,False,0,,meta-llama/llama-3.3-70b-instruct,8,0.0,llm_judge_score,102.98477005958557,0.05846532,265125,339,False,False,N/A,"S_summarize,R_reason",,,,,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLMSENSE_PAPER,not_applicable,,,False,False,False,,,,,,,0,False,0,,meta-llama/llama-3.3-70b-instruct,9,1.0,llm_judge_score,74.35958194732666,0.04394234,199066,359,False,False,N/A,"S_summarize,R_reason",,,,,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLMSENSE_PAPER,not_applicable,,,False,False,False,,,,,,,0,False,0,,meta-llama/llama-3.3-70b-instruct,10,1.0,llm_judge_score,95.71366381645203,0.05556728,251918,354,False,False,N/A,"S_summarize,R_reason",,,,,False,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
